id	gpu_model	gpu_memory	price_per_hour	location	available
ceti14	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
l-hgx-05	NVIDIA-H200	143771	220	region-1	True
sfc-016	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
l-hgx-01	NVIDIA-H200	143771	225	region-1	True
antalpha-super-server100132	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
ses-a16	NVIDIA-H100-80GB-HBM3	81559	155	region-1	True
antalpha-super-server100154	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
sfc-025	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
korea-amd9-17	NVIDIA-GeForce-RTX-3070	8192	16	region-1	False
sfc-010	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ceti16	NVIDIA-H100-80GB-HBM3	81559	160	region-1	True
sfc-008	NVIDIA-H100-80GB-HBM3	81559	150	region-1	False
antalpha-super-server100116	NVIDIA-GeForce-RTX-4090	24564	30	region-1	False
sfc-026	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ns-ai-server010	NVIDIA-GeForce-RTX-4090	24564	25	region-1	False
sfc-007	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
antalpha-super-server100155	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
sfc-003	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-005	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-018	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
antalpha-super-server-100194	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
sfc-001	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ns-ai-server018	NVIDIA-GeForce-RTX-4090	24564	30	region-1	False
sfc-017	NVIDIA-H100-80GB-HBM3	81559	150	region-1	False
antalpha-super-server100202	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
sfc-030	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-002	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
gpu-cluster-helsinki-hyperbolic	NVIDIA-H100-80GB-HBM3	81559	185	region-1	True
l-hgx-02	NVIDIA-H200	143771	230	region-1	True
antalpha-super-server100123	NVIDIA-GeForce-RTX-4090	24564	33	region-1	False
sfc-011	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
antalpha-super-server100152	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
ceti13	NVIDIA-H100-80GB-HBM3	81559	170	region-1	True
sfc-022	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
antalpha-super-server100120	NVIDIA-GeForce-RTX-4090	24564	40	region-1	True
antalpha-super-server100130	NVIDIA-GeForce-RTX-4090	24564	35	region-1	False
sfc-009	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-004	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-032	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ns-ai-server007	NVIDIA-GeForce-RTX-4090	24564	25	region-1	False
ceti12	NVIDIA-H100-80GB-HBM3	81559	170	region-1	True
antalpha-super-server100115	NVIDIA-GeForce-RTX-4090	24564	30	region-1	False
sfc-028	NVIDIA-H100-80GB-HBM3	81559	150	region-1	False
ns-ai-server019	NVIDIA-GeForce-RTX-4090	24564	25	region-1	False
ses-a6	NVIDIA-H100-80GB-HBM3	81559	155	region-1	True
antalpha-super-server100153	NVIDIA-GeForce-RTX-4090	24564	50	region-1	True
antalpha-super-server100156	NVIDIA-GeForce-RTX-4090	24564	33	region-1	False
ses-a11	NVIDIA-H100-80GB-HBM3	81559	155	region-1	True
sfc-023	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-006	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
antalpha-super-server100162	NVIDIA-GeForce-RTX-4090	24564	40	region-1	False
sfc-027	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ceti8	NVIDIA-H100-80GB-HBM3	81559	180	region-1	True
korea-amd9-37	NVIDIA-GeForce-RTX-3080	10240	20	region-1	False
sfc-024	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ceti5	NVIDIA-H100-80GB-HBM3	81559	180	region-1	True
sfc-019	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ses-hyper-a1	NVIDIA-H100-80GB-HBM3	81559	155	region-1	False
sfc-031	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-021	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-029	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
sfc-012	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ceti11	NVIDIA-H100-80GB-HBM3	81559	200	region-1	True
ai-server	NVIDIA-L40S	46068	60	region-1	True
antalpha-super-server100164	NVIDIA-GeForce-RTX-4090	24564	30	region-1	False
sfc-020	NVIDIA-H100-80GB-HBM3	81559	150	region-1	False
sfc-014	NVIDIA-H100-80GB-HBM3	81559	150	region-1	True
ceti15	NVIDIA-H100-80GB-HBM3	81559	150	region-1	False
ses-a5	NVIDIA-H100-80GB-HBM3	81559	175	region-1	False
